NDB_No;Shrt_Desc;Water_(g);Energ_Kcal;Protein_(g);Lipid_Tot_(g);Carbohydrt_(g);Fiber_TD_(g);Sugar_Tot_(g);Iron_(mg);Cholestrl_(mg)
11050;BEANS,SHELLIE,CND,SOL & LIQUIDS;9069;30;176;19;619;34;63;99;0
11058;BEANS,SNAP,CND,ALL STYLES,SEASONED,SOL&LIQUIDS;943;16;83;2;349;15;;47;0
11052;BEANS,SNAP,GREEN,RAW;9032;31;183;22;697;27;326;103;0
11723;BEANS,SNAP,GRN,CKD,BLD,DRND,W/SALT;8922;35;189;28;788;32;363;65;0
11053;BEANS,SNAP,GRN,CKD,BLD,DRND,WO/SALT;8922;35;189;28;788;32;363;65;0
11729;BEANS,SNAP,GRN,CND,NO SALT,DRND SOL;9338;22;112;46;432;19;78;106;0
11726;BEANS,SNAP,GRN,CND,NO SALT,SOL&LIQUIDS;9468;15;8;1;35;15;;9;0
11056;BEANS,SNAP,GRN,CND,REG PK,DRND SOL;9352;21;105;41;419;19;144;89;0
11054;BEANS,SNAP,GRN,CND,REG PK,SOL & LIQUIDS;9506;15;72;17;327;15;125;102;0
11062;BEANS,SNAP,GRN,FRZ,ALL STYLES,MICROWAVED;8993;40;198;41;698;34;26;8;
11060;BEANS,SNAP,GRN,FRZ,ALL STYLES,UNPREP;8993;39;179;21;754;26;221;85;0
11061;BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND WO/SALT;9142;28;149;17;645;3;188;66;0
11731;BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND,W/SALT;9142;28;149;17;645;3;188;66;0
11063;BEANS,SNAP,GRN,MICROWAVED;9004;39;231;5;641;34;322;83;
11725;BEANS,SNAP,YEL,CKD,BLD,DRND,W/SALT;8922;35;189;28;788;33;363;128;0
11724;BEANS,SNAP,YEL,CKD,BLD,DRND,WO/SALT;8922;35;189;28;788;33;363;128;0
11933;BEANS,SNAP,YEL,CND,NO SALT,DRND SOL;933;20;115;1;45;13;78;9;0
11728;BEANS,SNAP,YEL,CND,NO SALT,SOL&LIQUIDS;9468;15;8;1;35;15;62;9;0
11932;BEANS,SNAP,YEL,CND,REG PK,DRND SOL;933;20;115;1;45;13;78;9;0
11727;BEANS,SNAP,YEL,CND,REG PK,SOL&LIQUIDS;9468;15;8;1;35;15;62;9;0
11730;BEANS,SNAP,YEL,FRZ,ALL STYLES,UNPREP;8988;33;18;21;758;28;222;86;0
11733;BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,W/SALT;9142;28;149;17;645;3;188;88;0
11732;BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,WO/SALT;9142;28;149;17;645;3;188;88;0
11722;BEANS,SNAP,YELLOW,RAW;9027;31;182;12;713;34;327;104;0
23491;"BEEF COMP,LN,1/8"" FAT,CHOIC,CKD";6151;203;2873;916;0;0;0;249;82
13411;"Beef, bottom round, roast,lean only, 0"" fat, choice, roasted";6483;185;2723;763;0;0;0;24;78
13980;"BEEF, CHUCK, SHORT RIBS, BNL, 0"" FAT, CHOICE, CKED, BR";5594;250;2884;1495;0;0;0;319;102
23386;"Beef, ln, top ln stk, bneless lip-on, 1/8"" fat all grdes raw";7063;143;2307;567;0;0;0;184;60
13943;"Beef, shoulder steak, boneless, lean only, 0"", choice, grill";6421;178;2854;625;0;0;0;295;81
13327;BEEF, VAR MEATS&BY-PRODUCTS, LIVER, CKD, PAN-FRIED;6201;175;2652;468;516;0;0;617;381
